Raw Data;Notes;Major Category;Frame limits
DC;;Substrate;*
DC;;Substrate;
DC;;Substrate;
S;;Substrate;
S;;Substrate;
S;;Substrate;
DC;;Substrate;
CCA;;CCA;
CCA;;CCA;
S;;Substrate;**
S;;Substrate;*
S;;Substrate;
CB;;Hard coral;
ACB;;Acropora;
ACB;;Acropora;
ACB;;Acropora;
ACB;;Acropora;
S;;Substrate;
S;;Substrate;
RCK;;Substrate;**
CE;;Hard coral;*
CF;;Hard coral;
RB;;Rubble;
RB;;Rubble;
MA;;Macroalgae;
RB;;Rubble;
RB;;Rubble;
RB;;Rubble;
CM;;Hard coral;
CM;;Hard coral;**
;;;
